,seq_length,seq_batch_size,layer_one_neurons,layer_two_neurons,layer_three_neurons,layer_four_neurons,dropout_rate,stop_patience,learning_rate,epochs,mse_train,mse_test,mape_train,mape_test
174,168,512,64,64,32,16,0.0,5,0.001,40,0,0,0,0
175,168,512,64,64,32,16,0.2,5,0.001,40,0,0,0,0
176,168,512,128,32,16,8,0.0,5,0.001,40,0,0,0,0
177,168,512,128,32,16,8,0.2,5,0.001,40,0,0,0,0
178,168,512,128,32,16,16,0.0,5,0.001,40,0,0,0,0
179,168,512,128,32,16,16,0.2,5,0.001,40,0,0,0,0
180,168,512,128,32,32,8,0.0,5,0.001,40,0,0,0,0
181,168,512,128,32,32,8,0.2,5,0.001,40,0,0,0,0
182,168,512,128,32,32,16,0.0,5,0.001,40,0,0,0,0
183,168,512,128,32,32,16,0.2,5,0.001,40,0,0,0,0
184,168,512,128,64,16,8,0.0,5,0.001,40,0,0,0,0
185,168,512,128,64,16,8,0.2,5,0.001,40,0,0,0,0
186,168,512,128,64,16,16,0.0,5,0.001,40,0,0,0,0
187,168,512,128,64,16,16,0.2,5,0.001,40,0,0,0,0
188,168,512,128,64,32,8,0.0,5,0.001,40,0,0,0,0
189,168,512,128,64,32,8,0.2,5,0.001,40,0,0,0,0
190,168,512,128,64,32,16,0.0,5,0.001,40,0,0,0,0
191,168,512,128,64,32,16,0.2,5,0.001,40,0,0,0,0
